,country_x,economic_variable,Series Code,year_x,value,country_y,region,c_t,year_y,pr,cl,total,matching_score
0,Afghanistan,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2013,5.0,Afghanistan,Asia,c,2022,1,9,10,1.0
1,Afghanistan,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.0,Afghanistan,Asia,c,2022,1,9,10,1.0
2,Afghanistan,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,1.0,Afghanistan,Asia,c,2022,1,9,10,1.0
3,Afghanistan,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,2.0,Afghanistan,Asia,c,2022,1,9,10,1.0
4,Afghanistan,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,2.0,Afghanistan,Asia,c,2022,1,9,10,1.0
5,Afghanistan,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2018,1.0,Afghanistan,Asia,c,2022,1,9,10,1.0
6,Afghanistan,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2019,3.0,Afghanistan,Asia,c,2022,1,9,10,1.0
7,Afghanistan,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2013,608.0,Afghanistan,Asia,c,2022,1,9,10,1.0
8,Afghanistan,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2014,602.0,Afghanistan,Asia,c,2022,1,9,10,1.0
9,Afghanistan,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2015,592.0,Afghanistan,Asia,c,2022,1,9,10,1.0
10,Afghanistan,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2016,590.0,Afghanistan,Asia,c,2022,1,9,10,1.0
11,Afghanistan,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2017,588.0,Afghanistan,Asia,c,2022,1,9,10,1.0
12,Afghanistan,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2018,578.0,Afghanistan,Asia,c,2022,1,9,10,1.0
13,Afghanistan,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2019,584.0,Afghanistan,Asia,c,2022,1,9,10,1.0
14,Afghanistan,Gini index,SI.POV.GINI,2013,,Afghanistan,Asia,c,2022,1,9,10,1.0
15,Afghanistan,Gini index,SI.POV.GINI,2014,,Afghanistan,Asia,c,2022,1,9,10,1.0
16,Afghanistan,Gini index,SI.POV.GINI,2015,,Afghanistan,Asia,c,2022,1,9,10,1.0
17,Afghanistan,Gini index,SI.POV.GINI,2016,,Afghanistan,Asia,c,2022,1,9,10,1.0
