,country_x,economic_variable,series_code,value,country_y,region,c_t,year,pr,cl,total,matching_score
0,Australia,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.0,Australia,Asia,c,2019,40,58,98,1.0
1,Australia,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,58870.0,Australia,Asia,c,2019,40,58,98,1.0
2,Australia,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.0,Australia,Asia,c,2019,40,58,98,1.0
3,Australia,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,23.0,Australia,Asia,c,2019,40,58,98,1.0
4,Australia,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,5.0,Australia,Asia,c,2019,40,58,98,1.0
5,Austria,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.0,Austria,Europe,c,2019,37,56,93,1.0
6,Austria,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,46647.0,Austria,Europe,c,2019,37,56,93,1.0
7,Austria,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.0,Austria,Europe,c,2019,37,56,93,1.0
8,Austria,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,25.0,Austria,Europe,c,2019,37,56,93,1.0
9,Austria,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.0,Austria,Europe,c,2019,37,56,93,1.0
10,Belgium,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.0,Belgium,Europe,c,2019,39,57,96,1.0
11,Belgium,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,43098.0,Belgium,Europe,c,2019,39,57,96,1.0
12,Belgium,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.0,Belgium,Europe,c,2019,39,57,96,1.0
13,Belgium,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,22.0,Belgium,Europe,c,2019,39,57,96,1.0
14,Belgium,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.0,Belgium,Europe,c,2019,39,57,96,1.0
15,Bulgaria,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.0,Bulgaria,Europe,c,2019,33,47,80,1.0
16,Bulgaria,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8234.0,Bulgaria,Europe,c,2019,33,47,80,1.0
17,Bulgaria,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.0,Bulgaria,Europe,c,2019,33,47,80,1.0
18,Bulgaria,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,20.0,Bulgaria,Europe,c,2019,33,47,80,1.0
19,Bulgaria,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.0,Bulgaria,Europe,c,2019,33,47,80,1.0
20,Canada,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.0,Canada,Americas,c,2019,40,59,99,1.0
21,Canada,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45109.0,Canada,Americas,c,2019,40,59,99,1.0
22,Canada,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.0,Canada,Americas,c,2019,40,59,99,1.0
23,Canada,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,12.0,Canada,Americas,c,2019,40,59,99,1.0
24,Canada,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,1.0,Canada,Americas,c,2019,40,59,99,1.0
25,Chile,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,Chile,Americas,c,2019,37,57,94,1.0
26,Chile,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13765.0,Chile,Americas,c,2019,37,57,94,1.0
