Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,526.930235464098,..,..,..,..,..,..
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Income share held by highest 20%,SI.DST.05TH.20,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.706844302093614,0.558013470595918,0.544465179629164,0.514492082955642,0.627717584970134,0.719338940458301,0.891281199402031,0.692528088004276,0.653621702792632,..
Albania,ALB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3137.87312295061,3227.62916061207,3255.26961694887,3267.21751521694,3375.09043690952,3450.98746895266,3587.79170880579,3621.91795919348,..,..
Albania,ALB,Gini index,SI.POV.GINI,29,..,34.6,32.8,33.7,33.1,30.1,30.8,..,..
Albania,ALB,Income share held by highest 20%,SI.DST.05TH.20,37.8,..,41.7,40.6,41.2,40.7,38.2,39.2,..,..
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,8.9,..,7,7.7,7.3,7.6,7.9,8.3,..,..
Albania,ALB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,3.37723180721018,2.94742328506208,3.07589474829461,1.62184909615697,1.33314397099504,1.43578597762629,1.86823588394589,1.77966521665406,1.25377173185565,..
Algeria,DZA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3597.43805845481,3542.31473486932,3481.40231117188,3319.40676414615,3461.88989808044,3560.94004117568,3554.58875704917,3530.9637731466,3207.74166221887,..
Algeria,DZA,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Income share held by highest 20%,SI.DST.05TH.20,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,29.9855734563665,27.7341935761814,24.1267274230654,15.8771470438373,11.9977735940793,14.2882910784005,18.4817244457533,16.3420445424459,11.92571914195,..
American Samoa,ASM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Income share held by highest 20%,SI.DST.05TH.20,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0,0,0,0,0,0,0,0,0,..
Andorra,AND,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Income share held by highest 20%,SI.DST.05TH.20,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0,0,0,0,0,0,0,0,..,..
Angola,AGO,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2313.33375895234,2450.70385988279,2642.98727226717,3199.01270164473,4714.04557563686,3932.96269405292,2780.58069143096,2852.95586100053,2033.69997322077,..
Angola,AGO,Gini index,SI.POV.GINI,..,..,..,..,..,..,51.3,..,..,..
Angola,AGO,Income share held by highest 20%,SI.DST.05TH.20,..,..,..,..,..,..,55.6,..,..,..
Angola,AGO,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,3.8,..,..,..
Angola,AGO,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,36.288877976934,30.8504654159641,23.7586260592338,10.8292890562817,10.8922202726371,16.436781826354,27.5331192785728,26.13835473684,25.5179628326171,..
Antigua and Barbuda,ATG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Income share held by highest 20%,SI.DST.05TH.20,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0,0,0,0,0,0,0,0,0,..
Argentina,ARG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,11669.2356695571,11782.0548471657,11257.0049104201,11707.8704117529,11342.1099997583,11864.7682636218,11086.6252189587,10511.8271461598,9659.4231324016,..
Argentina,ARG,Gini index,SI.POV.GINI,41.3,40.9,41.6,..,42,41.1,41.3,42.9,42.3,..
Argentina,ARG,Income share held by highest 20%,SI.DST.05TH.20,46.5,46.1,46.8,..,47.2,46.4,46.5,47.9,47.3,..
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,5,5,5.1,..,4.9,5.1,5,4.7,4.8,..
Argentina,ARG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,3.41336111841849,3.01544202009906,2.74526885141793,1.08743567210003,0.936269075921548,1.12360659021161,2.1012769363927,2.19160282132649,1.8285686630972,..
Armenia,ARM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3145.70865846841,3269.1489834308,3322.55577098109,3288.58398376265,3254.87093394391,3609.37964502497,3779.28759314762,4013.7439812847,3665.9394839314,..
Armenia,ARM,Gini index,SI.POV.GINI,29.6,30.6,31.5,32.4,32.5,33.6,34.4,29.9,25.2,..
Armenia,ARM,Income share held by highest 20%,SI.DST.05TH.20,38.7,39.4,40.1,40.7,40.2,42.4,43,39.1,35.6,..
Armenia,ARM,Income share held by lowest 20%,SI.DST.FRST.20,9,8.6,8.4,8.2,7.9,8.4,8.1,9,10.2,..
Armenia,ARM,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,1.49013408940348,1.09715390179819,0.306948916870014,0.760031512472534,0.221817707840072,0.245814089354522,1.09329824684405,2.20118869582475,2.48328139508655,..
Aruba,ABW,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,24192.6166015901,..,..,..,..,..,..
Aruba,ABW,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Income share held by highest 20%,SI.DST.05TH.20,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.00197258928180296,0.00223610685990329,0.00323541770715472,0.00238783952282852,0.00334392389804081,0.00282695847055913,0.00187491277347098,..,..,..
Australia,AUS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,44267.5791280864,..,..,..,..,..,..
Australia,AUS,Gini index,SI.POV.GINI,..,..,34.4,..,33.7,..,34.3,..,..,..
Australia,AUS,Income share held by highest 20%,SI.DST.05TH.20,..,..,42.1,..,41.1,..,41.8,..,..,..
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,..,..,7.4,..,7.4,..,7.3,..,..,..
Australia,AUS,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,5.36224168667949,5.31112525259261,4.74052852118708,3.27562265193913,4.05730127248191,5.06070784243654,5.47462365219589,5.81237679344498,5.91844174901544,..
Austria,AUT,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,36310.6741545839,35955.3678374016,36018.0906315845,35786.8300842672,36777.4129604689,36509.8563672496,37169.5980347445,37580.2273102838,34404.2481126234,..
Austria,AUT,Gini index,SI.POV.GINI,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,..,..
Austria,AUT,Income share held by highest 20%,SI.DST.05TH.20,38.4,38.9,38.7,38.4,38.6,37.8,38.7,38.2,..,..
Austria,AUT,Income share held by lowest 20%,SI.DST.FRST.20,7.8,8.1,8,7.9,7.7,8,7.9,7.9,..,..
Austria,AUT,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.254274195614482,0.224162918916449,0.188597856637289,0.134762917973439,0.112235849137765,0.127694328348208,0.144713201452784,0.113911595806064,0.0886772989072538,..
Azerbaijan,AZE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,4460.66327690633,..,..,..,..,..,..
