"country","economic_variable","series_code","value"
"Australia","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",2.1713962244835
"Australia","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",58870.0216937531
"Australia","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",1.82928001880646
"Australia","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",23.4130769701014
"Australia","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",5.81237679344498
"Austria","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",1.51738858303159
"Austria","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",46647.0809634335
"Austria","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",3.12971997261047
"Austria","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",25.5821783311983
"Austria","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.113911595806064
"Belgium","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",2.24085824041289
"Belgium","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",43098.4847198889
"Belgium","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",3.16000008583069
"Belgium","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",22.62131642449
"Belgium","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.0150959935264914
"Bulgaria","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",4.03814220572653
"Bulgaria","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",8234.83966944834
"Bulgaria","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",0.832369983196259
"Bulgaria","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",20.4736245713875
"Bulgaria","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.579169522796877
"Canada","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",1.87959202770178
"Canada","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",45109.2444855151
"Canada","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",1.59162998199463
"Canada","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",12.7658792001364
"Canada","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",1.98698357557699
"Chile","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",0.77053958389908
"Chile","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",13765.118249803
"Chile","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",0.340950012207031
"Chile","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",17.8536189853873
"Chile","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",4.85196740466377
"Colombia","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",3.18685539245533
"Colombia","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",6403.87709573135
"Colombia","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",0.321689993143082
"Colombia","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",15.0849896448186
"Colombia","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",4.69333604689277
"Costa Rica","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",2.41751181762513
"Costa Rica","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",12662.4221428116
"Costa Rica","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",NA
"Costa Rica","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",13.3742076106881
"Costa Rica","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.75601330873668
"Croatia","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",3.42100553041595
"Croatia","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",14071.9114694775
"Croatia","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",1.08105003833771
"Croatia","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",21.6729080648553
"Croatia","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.656718048327641
"Cyprus","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",5.52942854943188
"Cyprus","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",28359.919921875
"Cyprus","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",0.714630007743835
"Cyprus","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",23.3010327048071
"Cyprus","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.00363982872805685
"Czechia","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",3.02987866345279
"Czechia","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",20206.4256384905
"Czechia","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",1.92772996425629
"Czechia","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",14.7687696689181
"Czechia","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.400487309261449
"Denmark","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",1.49348695853648
"Denmark","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",57203.0277943447
"Denmark","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",2.88800001144409
"Denmark","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",34.6898168609167
"Denmark","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.487174447648189
"Estonia","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",3.73970668161645
"Estonia","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",20269.575137379
"Estonia","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",1.63337004184723
"Estonia","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",21.2928815250286
"Estonia","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",1.17546668066103
"Finland","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",1.22474892206223
"Finland","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",46135.8814242631
"Finland","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",2.79682993888855
"Finland","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",20.6684788499862
"Finland","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.366031241930125
"France","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",1.84297181445896
"France","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",38832.0242014303
"France","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",2.19179010391235
"France","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",24.5146627776513
"France","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.0341718786074928
"Germany","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",1.05660389828289
"Germany","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",43284.6024553493
"Germany","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",3.16770005226135
"Germany","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS",11.4111238433057
"Germany","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS",0.0943748523487089
"Greece","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG",1.8843417847952
"Greece","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD",19018.9021220823
