,country_x,economic_variable,year_x,value,country_y,region,c_t,year_y,pr,cl,total,matching_score
0,Afghanistan,Adjusted net national income per capita (constant 2015 US$),2013,,Afghanistan,Asia,c,2022,1,9,10,1.0
1,Afghanistan,Adjusted net national income per capita (constant 2015 US$),2014,,Afghanistan,Asia,c,2022,1,9,10,1.0
2,Afghanistan,Adjusted net national income per capita (constant 2015 US$),2015,526.0,Afghanistan,Asia,c,2022,1,9,10,1.0
3,Afghanistan,Adjusted net national income per capita (constant 2015 US$),2016,,Afghanistan,Asia,c,2022,1,9,10,1.0
4,Afghanistan,Adjusted net national income per capita (constant 2015 US$),2017,,Afghanistan,Asia,c,2022,1,9,10,1.0
5,Afghanistan,Adjusted net national income per capita (constant 2015 US$),2018,,Afghanistan,Asia,c,2022,1,9,10,1.0
6,Afghanistan,Adjusted net national income per capita (constant 2015 US$),2019,,Afghanistan,Asia,c,2022,1,9,10,1.0
7,Afghanistan,Adjusted net national income per capita (constant 2015 US$),2020,,Afghanistan,Asia,c,2022,1,9,10,1.0
8,Afghanistan,Gini index,2013,,Afghanistan,Asia,c,2022,1,9,10,1.0
9,Afghanistan,Gini index,2014,,Afghanistan,Asia,c,2022,1,9,10,1.0
10,Afghanistan,Gini index,2015,,Afghanistan,Asia,c,2022,1,9,10,1.0
11,Afghanistan,Gini index,2016,,Afghanistan,Asia,c,2022,1,9,10,1.0
12,Afghanistan,Gini index,2017,,Afghanistan,Asia,c,2022,1,9,10,1.0
13,Afghanistan,Gini index,2018,,Afghanistan,Asia,c,2022,1,9,10,1.0
14,Afghanistan,Gini index,2019,,Afghanistan,Asia,c,2022,1,9,10,1.0
15,Afghanistan,Gini index,2020,,Afghanistan,Asia,c,2022,1,9,10,1.0
16,Afghanistan,Income share held by highest 20%,2013,,Afghanistan,Asia,c,2022,1,9,10,1.0
17,Afghanistan,Income share held by highest 20%,2014,,Afghanistan,Asia,c,2022,1,9,10,1.0
18,Afghanistan,Income share held by highest 20%,2015,,Afghanistan,Asia,c,2022,1,9,10,1.0
19,Afghanistan,Income share held by highest 20%,2016,,Afghanistan,Asia,c,2022,1,9,10,1.0
20,Afghanistan,Income share held by highest 20%,2017,,Afghanistan,Asia,c,2022,1,9,10,1.0
21,Afghanistan,Income share held by highest 20%,2018,,Afghanistan,Asia,c,2022,1,9,10,1.0
22,Afghanistan,Income share held by highest 20%,2019,,Afghanistan,Asia,c,2022,1,9,10,1.0
23,Afghanistan,Income share held by highest 20%,2020,,Afghanistan,Asia,c,2022,1,9,10,1.0
24,Afghanistan,Income share held by lowest 20%,2013,,Afghanistan,Asia,c,2022,1,9,10,1.0
25,Afghanistan,Income share held by lowest 20%,2014,,Afghanistan,Asia,c,2022,1,9,10,1.0
26,Afghanistan,Income share held by lowest 20%,2015,,Afghanistan,Asia,c,2022,1,9,10,1.0
27,Afghanistan,Income share held by lowest 20%,2016,,Afghanistan,Asia,c,2022,1,9,10,1.0
28,Afghanistan,Income share held by lowest 20%,2017,,Afghanistan,Asia,c,2022,1,9,10,1.0
29,Afghanistan,Income share held by lowest 20%,2018,,Afghanistan,Asia,c,2022,1,9,10,1.0
30,Afghanistan,Income share held by lowest 20%,2019,,Afghanistan,Asia,c,2022,1,9,10,1.0
31,Afghanistan,Income share held by lowest 20%,2020,,Afghanistan,Asia,c,2022,1,9,10,1.0
32,Afghanistan,Total natural resources rents (% of GDP),2013,0.0,Afghanistan,Asia,c,2022,1,9,10,1.0
33,Afghanistan,Total natural resources rents (% of GDP),2014,0.0,Afghanistan,Asia,c,2022,1,9,10,1.0
34,Afghanistan,Total natural resources rents (% of GDP),2015,0.0,Afghanistan,Asia,c,2022,1,9,10,1.0
35,Afghanistan,Total natural resources rents (% of GDP),2016,0.0,Afghanistan,Asia,c,2022,1,9,10,1.0
36,Afghanistan,Total natural resources rents (% of GDP),2017,0.0,Afghanistan,Asia,c,2022,1,9,10,1.0
37,Afghanistan,Total natural resources rents (% of GDP),2018,0.0,Afghanistan,Asia,c,2022,1,9,10,1.0
38,Afghanistan,Total natural resources rents (% of GDP),2019,0.0,Afghanistan,Asia,c,2022,1,9,10,1.0
39,Afghanistan,Total natural resources rents (% of GDP),2020,0.0,Afghanistan,Asia,c,2022,1,9,10,1.0
